Nom du monstre;Rôle;Rôle secondaire;Meneur;Niveau;Source;Catégorie;exp;Race;Origine;Mot-clé (humanoïde, élémentaire, féerique…);Lieux de prédilection
Sarbacanier banshrae;Artilleur;Normal;;11;Bestiaire Fantastique 1;Banshrae;600;Humanoïde;Féérique;;
Brute ogre;Brute;Sbire;;11;Bestiaire Fantastique 1;Ogre;150;Humanoïde;Naturelle;;
Mastodonte ogre;Brute;Élite;;11;Bestiaire Fantastique 1;Ogre;1200;Humanoïde;Naturelle;;
Ours sanguinaire;Brute;Élite;;11;Bestiaire Fantastique 1;Ours;1200;Bête;Naturelle;;
Dragon noir adulte;Chasseur;Solo;;11;Bestiaire Fantastique 1;Dragon;3000;Créature magique;Naturelle;Aquatique, Dragon;
Hommes d'armes drow;Chasseur;Normal;;11;Bestiaire Fantastique 1;Drow;600;Humanoïde;Féérique;;
Seigneur vampire (voleur humain);Chasseur;Élite;;11;Bestiaire Fantastique 1;Vampire;1200;Humanoïde;Naturelle;Mort-vivant;
Célébrant langue-de-serpent (humain);Contrôleur;Normal;;11;Bestiaire Fantastique 1;Yuan-ti;600;Humanoïde;Naturelle;Métamorphe;
Galeb duhr rochelier;Contrôleur;Normal;;11;Bestiaire Fantastique 1;Galeb duhr;600;Humanoïde;Élémentaire;Terre;
Philisophe grell;Contrôleur;Élite;;11;Bestiaire Fantastique 1;Grell;1200;Créature magique;Aberrante;Aveugle;
Tertre tempétueux;Contrôleur;Élite;;11;Bestiaire Fantastique 1;Tertre errant;1200;Animé;Naturelle;Plante;
Diable à chaînes (kyton);Franc-tireur;Normal;;11;Bestiaire Fantastique 1;Diable;600;Humanoïde;Immortelle;Diable;
Pyroflagellateur;Franc-tireur;Normal;;11;Bestiaire Fantastique 1;Élémentaire;600;Créature magique;Élémentaire;Air, Feu;
Traquenardier torve;Franc-tireur;Normal;;11;Bestiaire Fantastique 1;Torve;600;Humanoïde;Naturelle;Aveugle;
Ange vaillant soldat;Soldat;Sbire;;11;Bestiaire Fantastique 1;Ange;150;Humanoïde;Immortelle;Ange;
Cénobite githzerai;Soldat;Normal;;11;Bestiaire Fantastique 1;Githzerai;600;Humanoïde;Naturelle;;
Dévoreur d'âme;Soldat;Élite;;11;Bestiaire Fantastique 1;Dévoreur;1200;Humanoïde;Ombreuse;Mort-vivant;
Diable légionnaire, prétorien;Soldat;Sbire;;11;Bestiaire Fantastique 1;Diable;150;Humanoïde;Immortelle;Diable;
Gorgone de fer;Soldat;Normal;;11;Bestiaire Fantastique 1;Gorgone;600;Bête;Élémentaire;Terre;
Mezzodémon;Soldat;Normal;;11;Bestiaire Fantastique 1;Démon;600;Humanoïde;Élémentaire;Démon;
Naga gardien;Artilleur;Élite;;12;Bestiaire Fantastique 1;Naga;1400;Créature magique;Immortelle;Reptile;
Rejeton rouge crachefeu;Artilleur;Normal;;12;Bestiaire Fantastique 1;Rejeton draconique;700;Bête;Naturelle;Reptile;
Archon de feu ardent;Brute;Normal;;12;Bestiaire Fantastique 1;Archon;700;Humanoïde;Élémentaire;Feu;
Fanatique langue-de-serpent (humain);Brute;Sbire;;12;Bestiaire Fantastique 1;Yuan-ti;175;Humanoïde;Naturelle;;
Golem de chair;Brute;Élite;;12;Bestiaire Fantastique 1;Golem;1400;Animé;Naturelle;Créature artificielle;
Homme d'armes troglodyte;Brute;Sbire;;12;Bestiaire Fantastique 1;Troglodyte;175;Humanoïde;Naturelle;Reptile;
Hydre des marais;Brute;Solo;;12;Bestiaire Fantastique 1;Hydre;3500;Bête;Naturelle;Reptile;
Mastodonte répugnard;Brute;Normal;;12;Bestiaire Fantastique 1;Répugnard;700;Humanoïde;Aberrante;;
Nuée de striges;Brute;Normal;;12;Bestiaire Fantastique 1;Strige;700;Bête;Naturelle;Nuée;
Étrangleur sylvestre;Chasseur;Normal;;12;Bestiaire Fantastique 1;Étrangleur;700;Humanoïde;Féérique;;
Chaman ettin;Contrôleur;Élite;;12;Bestiaire Fantastique 1;Ettin;1400;Humanoïde;Naturelle;Géant;
Dévoreur viscéreux;Contrôleur;Normal;;12;Bestiaire Fantastique 1;Dévoreur;700;Humanoïde;Ombreuse;Mort-vivant;
Dragon vert adulte;Contrôleur;Solo;;12;Bestiaire Fantastique 1;Dragon;3500;Créature magique;Naturelle;Dragon;
Fantôme gémissant (banshee);Contrôleur;Normal;;12;Bestiaire Fantastique 1;Fantôme;700;Humanoïde;Ombreuse;Mort-vivant;
Lamie;Contrôleur;Élite;Oui;12;Bestiaire Fantastique 1;Lamie;1400;Créature magique;Féérique;Métamorphe;
Licorne du crépuscule;Contrôleur;Élite;Oui;12;Bestiaire Fantastique 1;Licorne;1400;Créature magique;Féérique;;
Homme d'armes banshrae;Franc-tireur;Normal;;12;Bestiaire Fantastique 1;Banshrae;700;Humanoïde;Féérique;;
Maraudeur kuo-toa;Franc-tireur;Normal;;12;Bestiaire Fantastique 1;Kuo-toa;700;Humanoïde;Naturelle;Aquatique;
Basilic œil-de-pierre;Soldat;Normal;;12;Bestiaire Fantastique 1;Basilic;700;Bête;Naturelle;Reptile;
Commandant nécrophage;Soldat;Normal;Oui;12;Bestiaire Fantastique 1;Nécrophage;700;Humanoïde;Naturelle;Mort-vivant;
Homme d'armes githyanki;Soldat;Normal;;12;Bestiaire Fantastique 1;Githyanki;700;Humanoïde;Naturelle;;
Ombre des roches;Soldat;Élite;;12;Bestiaire Fantastique 1;Ombre des roches;1400;Créature magique;Naturelle;;
Arachnomancien drow;Artilleur;Normal;Oui;13;Bestiaire Fantastique 1;Drow;800;Humanoïde;Féérique;;
Dragon bleu adulte;Artilleur;Solo;;13;Bestiaire Fantastique 1;Dragon;4000;Créature magique;Naturelle;Dragon;
Œil de lynx maléficié yuan-ti;Artilleur;Normal;;13;Bestiaire Fantastique 1;Yuan-ti;800;Humanoïde;Naturelle;Reptile;
Tortionnaire githyanki;Artilleur;Élite;;13;Bestiaire Fantastique 1;Githyanki;800;Humanoïde;Naturelle;;
Tyrannœil incendiaire;Artilleur;Élite;;13;Bestiaire Fantastique 1;Tyrannœil;1600;Créature magique;Aberrante;;
Berserker torve;Brute;Normal;;13;Bestiaire Fantastique 1;Torve;800;Humanoïde;Naturelle;Aveugle;
Brute magmatique;Brute;Normal;;13;Bestiaire Fantastique 1;Bête magmatique;800;Humanoïde;Élémentaire;Feu, Terre;
Géant des collines;Brute;Normal;;13;Bestiaire Fantastique 1;Géant;800;Humanoïde;Naturelle;Géant;
Balhannoth;Chasseur;Élite;;13;Bestiaire Fantastique 1;Balhannoth;1600;Créature magique;Aberrante;;
Cabaliste minotaure;Contrôleur;Normal;Oui;13;Bestiaire Fantastique 1;Minotaure;800;Humanoïde;Naturelle;;
Dryade buissonnière;Contrôleur;Élite;;13;Bestiaire Fantastique 1;Dryade;1600;Humanoïde;Féérique;Plante;
Orant;Contrôleur;Normal;Oui;13;Bestiaire Fantastique 1;Orant;800;Animé;Naturelle;Créature artificielle;
Seigneur momie (prêtre humain);Contrôleur;Élite;;13;Bestiaire Fantastique 1;Momie;1600;Humanoïde;Naturelle;Mort-vivant;
Zerth githzerai;Contrôleur;Élite;;13;Bestiaire Fantastique 1;Githzerai;1600;Humanoïde;Naturelle;;
Bête éclipsante seigneuriale;Franc-tireur;Élite;;13;Bestiaire Fantastique 1;Bête éclipsante;1600;Créature magique;Féérique;;
Destrier noir;Franc-tireur;Normal;;13;Bestiaire Fantastique 1;Destrier noir;800;Créature magique;Ombreuse;Monture;
Maître d'armes drow;Franc-tireur;Élite;;13;Bestiaire Fantastique 1;Drow;1600;Humanoïde;Féérique;;
Pillard drakéide;Franc-tireur;Normal;;13;Bestiaire Fantastique 1;Drakéide;800;Humanoïde;Naturelle;;
Slaad gris (slaad de faille);Franc-tireur;Normal;;13;Bestiaire Fantastique 1;Slaad;800;Humanoïde;Élémentaire;;
Vrock;Franc-tireur;Normal;;13;Bestiaire Fantastique 1;Démon;800;Humanoïde;Élémentaire;Démon;
Armure animée;Soldat;Normal;;13;Bestiaire Fantastique 1;Armure animée;800;Animé;Élémentaire;Créature artificielle;
Diable barbu (barbazu);Soldat;Normal;;13;Bestiaire Fantastique 1;Diable;800;Humanoïde;Immortelle;Diable;
Goule de horde;Soldat;Sbire;;13;Bestiaire Fantastique 1;Goule;200;Humanoïde;Naturelle;Mort-vivant;
Homme d'armes méduse (mâle);Soldat;Élite;;13;Bestiaire Fantastique 1;Méduse;1600;Humanoïde;Naturelle;;
Porte-crocs;Soldat;Normal;;13;Bestiaire Fantastique 1;Porte-crocs;800;Bête;Naturelle;;
Scorpion diabolique;Soldat;Normal;;13;Bestiaire Fantastique 1;Scorpion;800;Bête;Immortelle;;
Empaleur cyclope;Artilleur;Normal;;14;Bestiaire Fantastique 1;Cyclope;1000;Humanoïde;Féérique;;
Mage psychique githzerai;Artilleur;Normal;;14;Bestiaire Fantastique 1;Githzerai;1000;Humanoïde;Naturelle;;
Crochet drider;Brute;Normal;;14;Bestiaire Fantastique 1;Drider;1000;Humanoïde;Féérique;Araignée;
Lancier salamandre;Brute;Normal;;14;Bestiaire Fantastique 1;Salamandre;1000;Humanoïde;Élémentaire;Feu, Reptile;
Sbire torve;Brute;Sbire;;14;Bestiaire Fantastique 1;Torve;250;Humanoïde;Naturelle;Aveugle;
Infiltrateur flagelleur mental;Chasseur;Normal;;14;Bestiaire Fantastique 1;Flagelleur mental;1000;Humanoïde;Aberrante;;
Tormante;Chasseur;Normal;;14;Bestiaire Fantastique 1;Guenaude;1000;Humanoïde;Féérique;;
Zéphyr prestelin;Chasseur;Normal;;14;Bestiaire Fantastique 1;Prestelin;1000;Humanoïde;Féérique;;
Échauffouronce guerrépine;Contrôleur;Normal;;14;Bestiaire Fantastique 1;Échauffouronce;1000;Animé;Naturelle;Plante;
Enlaceur;Contrôleur;Élite;;14;Bestiaire Fantastique 1;Enlaceur;2000;Créature magique;Élémentaire;Terre;
Liche (magicien humain);Contrôleur;Élite;;14;Bestiaire Fantastique 1;Liche;2000;Humanoïde;Naturelle;Mort-vivant;
Ours-hibou des neiges;Contrôleur;Élite;;14;Bestiaire Fantastique 1;Ours-hibou;2000;Bête;Féérique;;
Terreur arachnéenne;Contrôleur;Élite;;14;Bestiaire Fantastique 1;Araignée;2000;Bête;Élémentaire;Araignée;
Garde cyclope;Franc-tireur;Sbire;;14;Bestiaire Fantastique 1;Cyclope;250;Humanoïde;Féérique;;
Musard cyclope;Franc-tireur;Normal;;14;Bestiaire Fantastique 1;Cyclope;1000;Humanoïde;Féérique;;
Queue-de-feu salamandre;Franc-tireur;Normal;;14;Bestiaire Fantastique 1;Salamandre;1000;Humanoïde;Élémentaire;Feu, Reptile;
Rukh;Franc-tireur;Élite;;14;Bestiaire Fantastique 1;Rukh;2000;Bête;Naturelle;;
Tisseur d'ombre drider;Franc-tireur;Normal;;14;Bestiaire Fantastique 1;Drider;1000;Humanoïde;Féérique;Araignée;
Abomination yuan-ti;Soldat;Normal;;14;Bestiaire Fantastique 1;Yuan-ti;1000;Humanoïde;Naturelle;Reptile;
Ange gardien;Soldat;Normal;;14;Bestiaire Fantastique 1;Ange;1000;Humanoïde;Immortelle;Ange;
Esquilleux;Soldat;Normal;;14;Bestiaire Fantastique 1;Esquilleux;1000;Animé;Ombreuse;Mort-vivant;
Fantassin azer;Soldat;Normal;;14;Bestiaire Fantastique 1;Azer;1000;Humanoïde;Élémentaire;Feu;
Garde protecteur;Soldat;Normal;;14;Bestiaire Fantastique 1;Garde;1000;Animé;Naturelle;Créature artificielle;
Harponneur kuo-toa;Soldat;Normal;;14;Bestiaire Fantastique 1;Kuo-toa;1000;Humanoïde;Naturelle;Aquatique;
Troll de guerre;Soldat;Normal;;14;Bestiaire Fantastique 1;Troll;1000;Humanoïde;Naturelle;;
Aboyeur destrakhan;Artilleur;Normal;;15;Bestiaire Fantastique 1;Destrakhan;1200;Créature magique;Aberrante;Aveugle;
Archer rakshasa;Artilleur;Normal;;15;Bestiaire Fantastique 1;Rakshasa;1200;Humanoïde;Naturelle;;
Archer salamandre;Artilleur;Normal;;15;Bestiaire Fantastique 1;Salamandre;1200;Humanoïde;Élémentaire;Feu, Reptile;
Incantateur maléficié yuan-ti;Artilleur;Normal;Oui;15;Bestiaire Fantastique 1;Yuan-ti;1200;Humanoïde;Naturelle;Reptile;
Berserker azer;Brute;Normal;;15;Bestiaire Fantastique 1;Azer;1200;Humanoïde;Élémentaire;Feu;
Chimère;Brute;Élite;;15;Bestiaire Fantastique 1;Chimère;2400;Créature magique;Naturelle;;
Sanglier tonnerre;Brute;Normal;;15;Bestiaire Fantastique 1;Sanglier;1200;Bête;Féérique;;
Aristocrate salamandre;Contrôleur;Normal;Oui;15;Bestiaire Fantastique 1;Salamandre;1200;Humanoïde;Élémentaire;Feu, Reptile;
Immolith;Contrôleur;Normal;;15;Bestiaire Fantastique 1;Démon;1200;Créature magique;Élémentaire;Démon, Feu, Mort-vivant;
Prêtresse drow;Contrôleur;Normal;Oui;15;Bestiaire Fantastique 1;Drow;1200;Humanoïde;Féérique;;
Ange batailleur;Franc-tireur;Normal;Oui;15;Bestiaire Fantastique 1;Ange;1200;Humanoïde;Immortelle;Ange;
Gish githyanki;Franc-tireur;Élite;;15;Bestiaire Fantastique 1;Githyanki;2400;Humanoïde;Naturelle;;
Dragon rouge adulte;Soldat;Solo;;15;Bestiaire Fantastique 1;Dragon;6000;Créature magique;Naturelle;Dragon;
Homme d'armes rakshasa;Soldat;Normal;;15;Bestiaire Fantastique 1;Rakshasa;1200;Humanoïde;Naturelle;;
Slaad rouge (slaad de sang);Soldat;Normal;;15;Bestiaire Fantastique 1;Slaad;1200;Humanoïde;Élémentaire;;
Archon de glace grêleux;Artilleur;Normal;;16;Bestiaire Fantastique 1;Archon;1400;Humanoïde;Élémentaire;Froid;
Guulvorg;Brute;Élite;;16;Bestiaire Fantastique 1;Worg;2800;Créature magique;Naturelle;;
Matraqueur ogre;Brute;Sbire;;16;Bestiaire Fantastique 1;Ogre;350;Humanoïde;Naturelle;;
Sauvage minotaure;Brute;Normal;;16;Bestiaire Fantastique 1;Minotaure;1400;Humanoïde;Naturelle;;
Serviteur aboleth;Brute;Sbire;;16;Bestiaire Fantastique 1;Aboleth;350;Humanoïde;Aberrante;Aquatique;Outreterre
Titan de la terre;Brute;Élite;;16;Bestiaire Fantastique 1;Géant;2800;Humanoïde;Élémentaire;Géant, Terre;
Bodak furtif;Chasseur;Normal;;16;Bestiaire Fantastique 1;Bodak;1400;Humanoïde;Ombreuse;Mort-vivant;
Rejeton noir tissombre;Chasseur;Normal;;16;Bestiaire Fantastique 1;Rejeton draconique;1400;Bête;Naturelle;Reptile;
Fouet kuo-toa;Contrôleur;Normal;Oui;16;Bestiaire Fantastique 1;Kuo-toa;1400;Humanoïde;Naturelle;Aquatique;
Naga osseux;Contrôleur;Élite;;16;Bestiaire Fantastique 1;Naga;2800;Créature magique;Immortelle;Mort-vivant;
Sylvanien;Contrôleur;Élite;;16;Bestiaire Fantastique 1;Sylvanien;2800;Créature magique;Féérique;Plante;
Garde kuo-toa;Franc-tireur;Sbire;;16;Bestiaire Fantastique 1;Kuo-toa;350;Humanoïde;Naturelle;Aquatique;
Goule abyssale;Franc-tireur;Normal;;16;Bestiaire Fantastique 1;Goule;1400;Humanoïde;Élémentaire;Mort-vivant;
Guerrier cyclope;Franc-tireur;Sbire;;16;Bestiaire Fantastique 1;Cyclope;350;Humanoïde;Féérique;;
Orienteur kuo-toa;Franc-tireur;Normal;;16;Bestiaire Fantastique 1;Kuo-toa;1400;Humanoïde;Naturelle;Aquatique;
Serpent d'ombre;Franc-tireur;Normal;;16;Bestiaire Fantastique 1;Serpent;1400;Bête;Ombreuse;Reptile;
Ange vaillant vétéran;Soldat;Sbire;;16;Bestiaire Fantastique 1;Ange;350;Humanoïde;Immortelle;;
Diable légionnaire, vétéran;Soldat;Sbire;;16;Bestiaire Fantastique 1;Diable;350;Humanoïde;Immortelle;Diable;
Massacreur cyclope;Soldat;Normal;;16;Bestiaire Fantastique 1;Cyclope;1400;Humanoïde;Féérique;;
Sphinx;Soldat;Élite;;16;Bestiaire Fantastique 1;Sphinx;2800;Créature magique;Immortelle;;
Ver pourpre;Soldat;Solo;;16;Bestiaire Fantastique 1;Ver pourpre;7000;Bête;Naturelle;Aveugle;
Chaman des tempêtes cyclope;Artilleur;Normal;;17;Bestiaire Fantastique 1;Cyclope;1600;Humanoïde;Féérique;;
Mage visqueux aboleth;Artilleur;Normal;Oui;17;Bestiaire Fantastique 1;Aboleth;1600;Créature magique;Aberrante;Aquatique;Outreterre
Fouetteur aboleth;Brute;Normal;;17;Bestiaire Fantastique 1;Aboleth;1600;Créature magique;Aberrante;Aquatique;Outreterre
Molosse satanique pyrophore;Brute;Normal;;17;Bestiaire Fantastique 1;Molosse;1600;Bête;Élémentaire;Feu;
Slaad bleu (slaad griffu);Brute;Normal;;17;Bestiaire Fantastique 1;Slaad;1600;Humanoïde;Élémentaire;;
Vieux dragon blanc;Brute;Solo;;17;Bestiaire Fantastique 1;Dragon;8000;Créature magique;Naturelle;Dragon;
Âme-en-peine spadassine;Chasseur;Normal;;17;Bestiaire Fantastique 1;Âme-en-peine;1600;Humanoïde;Ombreuse;Mort-vivant;
Charognard rampant géant;Contrôleur;Élite;;17;Bestiaire Fantastique 1;Charognard rampant;3200;Bête;Aberrante;;
Contremaître azer;Contrôleur;Normal;Oui;17;Bestiaire Fantastique 1;Azer;1600;Humanoïde;Élémentaire;Feu;
Diable osseux (osyluth);Contrôleur;Normal;Oui;17;Bestiaire Fantastique 1;Diable;1600;Humanoïde;Immortelle;Diable;
Disciple de zéhir maléficié yuan-ti;Contrôleur;Normal;;17;Bestiaire Fantastique 1;Yuan-ti;1600;Humanoïde;Naturelle;Reptile;
Garde de bataille;Contrôleur;Normal;;17;Bestiaire Fantastique 1;Garde;1600;Animé;Naturelle;Créature artificielle;
Assassin rakshasa;Franc-tireur;Normal;;17;Bestiaire Fantastique 1;Rakshasa;1600;Humanoïde;Naturelle;;
Batailleur cyclope;Franc-tireur;Normal;;17;Bestiaire Fantastique 1;Cyclope;1600;Humanoïde;Féérique;;
Chevalier de la mort (guerrier humain);Soldat;Élite;;17;Bestiaire Fantastique 1;Chevalier de la mort;3200;Humanoïde;Naturelle;Mort-vivant;
Éclipse des roches;Soldat;Solo;;17;Bestiaire Fantastique 1;Ombre des roches;8000;Créature magique;Ombreuse;;
Golem de pierre;Soldat;Élite;;17;Bestiaire Fantastique 1;Golem;3200;Animé;Naturelle;Créature artificielle;
Guerrier azer;Soldat;Sbire;;17;Bestiaire Fantastique 1;Azer;400;Humanoïde;Élémentaire;Feu;
Guerrier fomorian;Soldat;Élite;;17;Bestiaire Fantastique 1;Fomorian;3200;Humanoïde;Féérique;Géant;
Seigneur des bêtes azer;Soldat;Normal;Oui;17;Bestiaire Fantastique 1;Azer;1600;Humanoïde;Élémentaire;Feu;
Forgeronnier géant du feu;Artilleur;Normal;;18;Bestiaire Fantastique 1;Géant;2000;Humanoïde;Élémentaire;Géant;
Magus de feu infernal cambion;Artilleur;Normal;;18;Bestiaire Fantastique 1;Cambion;2000;Humanoïde;Immortelle;Diable;
Hydre mordante;Brute;Solo;;18;Bestiaire Fantastique 1;Hydre;10000;Bête;Naturelle;Reptile;
Nécrophage exterminateur;Brute;Normal;;18;Bestiaire Fantastique 1;Nécrophage;2000;Humanoïde;Naturelle;Mort-vivant;
Gargouille nabassu;Chasseur;Normal;;18;Bestiaire Fantastique 1;Gargouille;2000;Humanoïde;Élémentaire;Terre;
Vieux dragon noir;Chasseur;Solo;;18;Bestiaire Fantastique 1;Dragon;10000;Créature magique;Naturelle;Aquatique, Dragon;
Abomination babélienne;Contrôleur;Normal;;18;Bestiaire Fantastique 1;Bête babélienne;2000;Créature magique;Aberrante;;
Cerveau flagelleur mental;Contrôleur;Élite;;18;Bestiaire Fantastique 1;Flagelleur mental;4000;Humanoïde;Aberrante;;
Dracoliche;Contrôleur;Solo;;18;Bestiaire Fantastique 1;Dracoliche;10000;Créature magique;Naturelle;Dragon, Mort-vivant;
Oppresseur aboleth;Contrôleur;Élite;Oui;18;Bestiaire Fantastique 1;Aboleth;4000;Créature magique;Aberrante;Aquatique;Outreterre
Slaad vert (slaad de malédiction);Contrôleur;Normal;;18;Bestiaire Fantastique 1;Slaad;2000;Humanoïde;Élémentaire;;
Bulette sanguinaire;Franc-tireur;Élite;;18;Bestiaire Fantastique 1;Bulette;4000;Bête;Naturelle;;
Mantille de Zéhir méduse (femelle);Franc-tireur;Normal;;18;Bestiaire Fantastique 1;Méduse;2000;Humanoïde;Naturelle;;
Armure animée suprême;Soldat;Élite;;18;Bestiaire Fantastique 1;Armure animée;4000;Animé;Élémentaire;Créature artificielle;
Bodak massacreur;Soldat;Normal;;18;Bestiaire Fantastique 1;Bodak;2000;Humanoïde;Ombreuse;Mort-vivant;
Géant du feu;Soldat;Normal;;18;Bestiaire Fantastique 1;Géant;2000;Humanoïde;Élémentaire;Géant;
Goule abyssale festoyeuse;Soldat;Sbire;;18;Bestiaire Fantastique 1;Goule;500;Humanoïde;Élémentaire;Mort-vivant;
Guenaude du trépas;Soldat;Normal;;18;Bestiaire Fantastique 1;Guenaude;2000;Humanoïde;Féérique;;
Mastard de magma;Soldat;Normal;;18;Bestiaire Fantastique 1;Élémentaire;2000;Créature magique;Élémentaire;Feu, Terre;
Seigneur tyrannœil;Artilleur;Solo;;19;Bestiaire Fantastique 1;Tyrannœil;12000;Créature magique;Aberrante;;
Ange vengeur;Brute;Élite;;19;Bestiaire Fantastique 1;Ange;4800;Humanoïde;Immortelle;Ange;
Goristro;Brute;Élite;;19;Bestiaire Fantastique 1;Démon;4800;Humanoïde;Élémentaire;Démon;
Phénix;Brute;Élite;;19;Bestiaire Fantastique 1;Rukh;4800;Bête;Élémentaire;Feu;
Aristocrate rakshasa;Contrôleur;Normal;;19;Bestiaire Fantastique 1;Rakshasa;2400;Humanoïde;Naturelle;;
Bralani des vents d'automne;Contrôleur;Normal;;19;Bestiaire Fantastique 1;Éladrin;2400;Humanoïde;Féérique;;
Tourmenteur fomorian;Contrôleur;Élite;;19;Bestiaire Fantastique 1;Fomorian;4800;Humanoïde;Féérique;Géant;
Vieux dragon vert;Contrôleur;Solo;;19;Bestiaire Fantastique 1;Dragon;12000;Créature magique;Naturelle;Dragon;
Archon de feu flamboyant;Soldat;Normal;;19;Bestiaire Fantastique 1;Archon;2400;Humanoïde;Élémentaire;Feu;
Archon de glace marteleur;Soldat;Normal;;19;Bestiaire Fantastique 1;Archon;2400;Humanoïde;Élémentaire;Froid;
Sylvanien noire-racine;Soldat;Élite;;19;Bestiaire Fantastique 1;Sylvanien;4800;Créature magique;Féérique;Mort-vivant, Plante;
Archon de feu cendreux;Artilleur;Normal;;20;Bestiaire Fantastique 1;Archon;2800;Humanoïde;Élémentaire;Feu;
Vieux dragon bleu;Artilleur;Solo;;20;Bestiaire Fantastique 1;Dragon;14000;Créature magique;Naturelle;Dragon;
Ténébreux;Brute;Élite;;20;Bestiaire Fantastique 1;Ténébreux;5600;Humanoïde;Ombreuse;Mort-vivant;
Troll goinfre;Brute;Élite;;20;Bestiaire Fantastique 1;Troll;5600;Humanoïde;Naturelle;;
Archon de glace givreux;Contrôleur;Normal;Oui;20;Bestiaire Fantastique 1;Archon;2800;Humanoïde;Élémentaire;Froid;
Griffon de flammegivre;Franc-tireur;Normal;;20;Bestiaire Fantastique 1;Griffon;2800;Bête;Élémentaire;Froid, Monture;
Slaad noir (slaad du néant);Franc-tireur;Normal;;20;Bestiaire Fantastique 1;Slaad;2800;Humanoïde;Élémentaire;;
Dévoreur éperonneur;Soldat;Élite;Oui;20;Bestiaire Fantastique 1;Dévoreur;5600;Humanoïde;Ombreuse;Mort-vivant;
Diable gelé (gelugon);Soldat;Normal;;20;Bestiaire Fantastique 1;Diable;2800;Humanoïde;Immortelle;Diable;
Vagabond pourrissant;Soldat;Normal;;20;Bestiaire Fantastique 1;Vagabond pourrissant;2800;Humanoïde;Élémentaire;Mort-vivant;
Ghaele de l'hiver;Artilleur;Normal;;21;Bestiaire Fantastique 1;Éladrin;3200;Humanoïde;Féérique;;
Mage larveux;Artilleur;Élite;;21;Bestiaire Fantastique 1;Mage larveux;6400;Créature magique;Naturelle;Mort-vivant;
Momie géante;Brute;Normal;;21;Bestiaire Fantastique 1;Momie;3200;Humanoïde;Naturelle;Mort-vivant;
Fantôme tourmenteur;Contrôleur;Normal;;21;Bestiaire Fantastique 1;Fantôme;3200;Humanoïde;Ombreuse;Mort-vivant;
Hiérophante nécroprêtre (humain);Contrôleur;Élite;;21;Bestiaire Fantastique 1;Orcus;6400;Humanoïde;Naturelle;;
Naga ténébreux;Contrôleur;Élite;;21;Bestiaire Fantastique 1;Naga;6400;Créature magique;Immortelle;Reptile;
Anthème yuan-ti;Franc-tireur;Élite;;21;Bestiaire Fantastique 1;Yuan-ti;6400;Créature magique;Naturelle;Reptile;
Molosse débusqueur;Franc-tireur;Normal;;21;Bestiaire Fantastique 1;Molosse;3200;Créature magique;Féérique;;
Ange vaillant légionnaire;Soldat;Sbire;;21;Bestiaire Fantastique 1;Ange;800;Humanoïde;Immortelle;Ange;
Diable légionnaire, décurion;Soldat;Sbire;;21;Bestiaire Fantastique 1;Diable;800;Humanoïde;Immortelle;Diable;
Maître d'armes maruth;Soldat;Normal;;21;Bestiaire Fantastique 1;Maruth;3200;Humanoïde;Immortelle;;
Titan du feu;Soldat;Élite;;21;Bestiaire Fantastique 1;Géant;6400;Humanoïde;Élémentaire;Géant;
Frondeur pourrissant;Artilleur;Normal;;22;Bestiaire Fantastique 1;Vagabond pourrissant;4150;Humanoïde;Élémentaire;Mort-vivant;
Diable guerroyeur (malbranche);Brute;Normal;Oui;22;Bestiaire Fantastique 1;Diable;4150;Humanoïde;Immortelle;Diable;
Géant de la mort;Brute;Normal;;22;Bestiaire Fantastique 1;Géant;4150;Humanoïde;Ombreuse;Géant;
Hezrou;Brute;Normal;;22;Bestiaire Fantastique 1;Démon;4150;Humanoïde;Élémentaire;Démon;
Rejeton bleu déicide;Brute;Élite;;22;Bestiaire Fantastique 1;Rejeton draconique;8300;Humanoïde;Naturelle;Reptile;
Serviteur torve;Brute;Sbire;;22;Bestiaire Fantastique 1;Torve;1038;Humanoïde;Naturelle;Aveugle;
Traqueur astral;Chasseur;Élite;;22;Bestiaire Fantastique 1;Abomination;8300;Humanoïde;Immortelle;;
Harmoniste maruth;Contrôleur;Élite;;22;Bestiaire Fantastique 1;Maruth;8300;Humanoïde;Immortelle;;
Oiseau-tonnerre;Soldat;Élite;;22;Bestiaire Fantastique 1;Rukh;8300;Bête;Élémentaire;;
Sabre de feu éfrit;Soldat;Normal;;22;Bestiaire Fantastique 1;Éfrit;4150;Humanoïde;Élémentaire;Feu;
Vieux dragon rouge;Soldat;Solo;;22;Bestiaire Fantastique 1;Dragon;20750;Créature magique;Naturelle;Dragon;
Seigneur des cendres éfrit;Artilleur;Normal;;23;Bestiaire Fantastique 1;Éfrit;5100;Humanoïde;Élémentaire;Feu;
Glabrezu;Brute;Élite;;23;Bestiaire Fantastique 1;Démon;10200;Humanoïde;Élémentaire;Démon;
Spectre du néant;Chasseur;Normal;;23;Bestiaire Fantastique 1;Spectre;5100;Humanoïde;Ombreuse;Mort-vivant;
Dracoliche sombrefeu;Contrôleur;Solo;;23;Bestiaire Fantastique 1;Dracoliche;25500;Créature magique;Naturelle;Dragon, Mort-vivant;
Rafale rocailleuse;Contrôleur;Normal;;23;Bestiaire Fantastique 1;Élémentaire;5100;Créature magique;Élémentaire;Air, Terre;
