name;description;alteration;property;power;special;source;rarity;critical;implement_group;location;weapon_groups;armor_categories;object_levels
Arme de terreur;La morsure de cette arme instille la peur chez la cible.;jets d'attaque et jets de dégâts;"";Quotidien ♦ terreur : action libre. Utilisez ce pouvoir quand votre attaque avec cette arme touche. La cible subit un malus de -2 aux défenses (sauvegarde annule).;"";Manuel des Joueurs 1;uncommon;+1d8 dégâts par points de bonus d'altération;"";Arme;Haches, Lames lourdes, Marteaux;"";4, 9, 14, 19, 24, 29
Arme de tir rapide;Cette arme se recharge et tire plus vite que n'importe quelle arbalète.;jets d'attaque et jets de dégâts;On recharge cette arbalète au prix d'une action libre.;Rencontre: action mineure. Effectuez une attaque de base à distance avec cette arme.;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Arbalètes;"";3, 8, 13, 18, 23, 28
Arme de tirailleur;Cette arme exige un porteur astucieux, capable de se faufiler d'abri en abri pour mieux canarder l'ennemi.;jets d'attaque et jets de dégâts;Vous infligez +1 dégât si aucun allié n'est plus près de la cible que vous.<br>Niveau 12 ou 17: +2 dégâts.<br>Niveau 22 ou 27: +3 dégâts.;"";"";Le Comptoir de l'Aventure 1;common;+1d6 dégâts par points de bonus d'altération;"";Arme;Arbalètes, Arcs, Frondes;"";2, 7, 12, 17, 22, 27
Arme de tonnerre;Vous pouvez libérer un coup de tonnerre quand cette arme touche, repoussant votre ennemi sous une puissante vague sonore.;jets d'attaque et jets de dégâts;"";Quotidien ♦ tonnerre : action libre. Utilisez ce pouvoir lorsque vous touchez avec cette arme. Vous infliger 1d8 dégâts de tonnerre supplémentaires et poussez la cible d'une case. Niveau 13 ou 18 : 2d8 dégâts de tonnerre supplémentaires. Niveau 23 ou 28 : 3d8 dégâts de tonnerre supplémentaires.;"";Manuel des Joueurs 1;uncommon;+1d6 dégâts de tonnerre par points de bonus d'altération;"";Arme;Arbalètes, Arcs, Armes d'hast, Bâtons, Fléaux, Frondes, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";3, 8, 13, 18, 23, 28
Arme de transfert;Vos ennemis seraient bien avisés de faire attention à ce qu'ils vous font subir, car ils s'exposent aux mêmes conséquences.;jets d'attaque et jets de dégâts;"";Quotidien: action libre. Utilisez ce pouvoir lorsque vous touchez avec cette arme. Transférez à la cible un état préjudiciable ou un effet de dégâts continus que vous subissez. L'état préjudiciable ou les dégâts continus suivent leurs cours normalement sur la cible.;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Arbalètes, Arcs, Armes d'hast, Bâtons, Fléaux, Frondes, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";7, 12, 17, 22, 27
Arme défensive;Cette arme produit un halo bleu quand son porteur prend son second souffle ou se met en défense totale.;jets d'attaque et jets de dégâts;Lorsque vous entreprenez une action de défense totale ou de second souffle, toutes vos défenses bénéficient d'un bonus d'objet égal au bonus d'altération de cette arme jusqu'à la fin de votre tour de jeu suivant.;"";"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Arbalètes, Arcs, Armes d'hast, Bâtons, Fléaux, Frondes, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";2, 7, 12, 17, 22, 27
Arme démobilisante;Cette arme brise l'esprit et martèle les sens.;jets d'attaque et jets de dégâts;"";Quotidien: action libre. Utilisez ce pouvoir lorsque vous touchez avec cette arme. La cible subit un malus de -2 en Volonté jusqu'à la fin de votre tour de jeu suivant.;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération, et la cible subit un malus de -2 en Volonté jusqu'à la fin de votre tour de jeu suivant.;"";Arme;Marteaux, Masses;"";8, 13, 18, 23, 28
Arme démonicide;Cette arme crépite de particules d'énergie blanches issues de la Mer Astrale, fléau des démons.;jets d'attaque et jets de dégâts;Vous bénéficiez d'une résistance aux dégâts infligés par les démons égale au bonus d'altération de l'arme.;Quotidien: action libre. Utilisez ce pouvoir lorsque vous attaquez avec un démon avec cette arme. Vous bénéficiez d'un bonus de pouvoir de +5 au jet d'attaque et ignorez toutes les valeurs de résistance du démon.;"";Le Comptoir de l'Aventure 1;uncommon;+1d8 dégâts par points de bonus d'altération, ou +1d10 dégâts par point de bonus d'altération contre les démons;"";Arme;Arbalètes, Arcs, Armes d'hast, Bâtons, Fléaux, Frondes, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";9, 14, 19, 24, 29
Arme dénudante;Les serments ancestraux qui sont gravés sur cette arme brillent d'une lueur pourpre quand vous les invoquez pour surmonter les protections de l'ennemi.;jets d'attaque et jets de dégâts;Chaque fois que vous mettez un ennemi en péril avec une attaque à distance de limier utilisant cette arme, vous pouvez vous décaler de 1 case.;Quotidien : action libre. Déclencheur : vous touchez un ennemi avec une attaque de limier. Effet : l'attaque ignore les immunités et résistances de l'ennemi.;"";Manuel des Joueurs 3;uncommon;+1d8 dégâts par point de bonus d'altération;"";Arme;Arcs, Lances;"";4, 9, 14, 19, 24, 29
Arme des confins;Cette arme dégage une vive lumière à l'instant où elle surgit, avec une puissance qui la porte plus loin que la normale.;jets d'attaque et jets de dégâts;Augmentez la portée normale de l'arme de 5 cases et sa portée longue de 10 cases.;"";"";Le Comptoir de l'Aventure 1;uncommon;+1dX dégâts par points de bonus d'altération;"";Arme;Arbalètes, Arcs, Frondes;"";1, 6, 11, 16, 21, 26
Arme des entraves fantômes;Des chaînes spectrales entravent les créatures que vous frappez avec cette arme et les entraînent vers vous.;jets d'attaque et jets de dégâts;"";Rencontre: action libre. Utilisez ce pouvoir lorsque vous touchez avec cette arme. Tirez la cible d'un nombre de cases égal au bonus d'altération de l'arme.;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Arbalètes, Arcs, Frondes;"";25, 30
Arme des serments tenus;Quand votre arme terrasse l'ennemi de votre divinité, vous éprouvez un regain de puissance qui vous permet de poursuivre le combat.;jets d'attaque et jets de dégâts;Les vengeurs peuvent utiliser cette arme comme focaliseur pour les pouvoirs de vengeur et de voie parangonique de vengeur.Lorsque vous réduisez la cible de votre Serment d'inimitié à 0 point de vie, la prochaine attaque que vous effectuez avec cette arme avant la fin de votre tour de jeu suivant inflige 1d6 dégâts supplémentaire par point de bonus d'altération.;"";"";Le Comptoir de l'Aventure 2;uncommon;+1d6 dégâts par point de bonus d'altération;"";Arme;Armes d'hast, Bâtons, Fléaux, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";4, 9, 14, 19, 24, 29
Arme du chasseur suprême;Cette arme ignore l'abri et le camouflage quand sa magie est activée.;jets d'attaque et jets de dégâts;"";Quotidien : action simple. Lorsque vous utilisez ce pouvoir, vous repérez automatiquement l'emplacement de toutes les créatures situées dans un rayon de 10 cases, même si votre ligne de mire ou ligne d'effet avec ces créatures est normalement bloquée. Cette détection dure jusqu'à la fin de votre tour de jeu. Vous pouvez viser n'importe laquelle de ces créatures comme si elle ne disposait d'aucun abri ou camouflage. Vous pouvez alors effectuer une attaque de base à distance avec cette arme avec un bonus de +5 au jet d'attaque.;Arme à distance et de jet uniquement.;Manuel des Joueurs 1;uncommon;+1d12 dégâts par points de bonus d'altération;"";Arme;Arbalètes, Arcs, Frondes, Lames légères, Lances, Marteaux;"";30
Arme du croisé;Les chasseurs de morts-vivants apprécient cette arme pour sa capacité à cerner leurs points faibles.;jets d'attaque et jets de dégâts;La moitié des dégâts infligés par cette arme sont radiants.Vous pouvez utiliser cette arme comme symbole sacré. Si vous l'employez ainsi, elle ajoute son bonus d'altération aux jets d'attaque et jets de dégâts.;Quotidien: action simple. Vous gagnez un usage supplémentaire de votre conduit divin pour la rencontre.;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération, ou +1d10 par point de bonus d'altération contre les morts-vivants;"";Arme;Marteaux, Masses;"";9, 14, 19, 24, 29
Arme du défi;Cette arme est toujours enchantée qu'on la présente à de nouveaux ennemis.;jets d'attaque et jets de dégâts;Vous infligez 1d6 dégâts supplémentaire lorsque vous touchez avec cette arme un ennemi disposant de ses points de vie maximums.<br>Niveau 11 ou 16: 2d6 supplémentaires.<br>Niveau 21 ou 26: 3d6 supplémentaires.;"";"";Le Comptoir de l'Aventure 2;uncommon;Aucun;"";Arme;Armes d'hast, Bâtons, Fléaux, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";1, 6, 11, 16, 21, 26
Arme du fracas tellurien;Les créatures de la terre souffrent plus que les autres sous les assauts de cette arme.;jets d'attaque et jets de dégâts;"";Quotidien: action libre. Utilisez ce pouvoir lorsque vous touchez avec cette arme. La cible est maîtrisée (sauvegarde annule). Si la cible est accompagnée des mot-clés plante ou terre, elle subit un malus de -5 au jet de sauvegarde.;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération, et une cible accompagnée des mots-clés plante ou terre est également hébétée jusqu'à la fin de votre tour de jeu suivant;"";Arme;Fléaux, Frondes, Haches, Marteaux, Masses, Pics;"";8, 13, 18, 23, 28
Arme du joueur;Arme appréciée des canailles et des voleurs, cette lame imprévisible n'est pas pour les poltrons.;jets d'attaque et jets de dégâts;"";Rencontre: action libre. Utilisez ce pouvoir avant d'effectuer un jet d'attaque. Lancez 1d6 et soustrayez-y 3, le résultat est un bonus de pouvoir ou un malus à appliquer au jet d'attaque.;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération, et vous pouvez vous décalez de 1 case.;"";Arme;Lames légères;"";2, 7, 12, 17, 22, 27
Arme du linceul noir;Chaque fois que cette arme prive l'ennemi de son essence vital, elle produit chez vous un bienfait.;jets d'attaque et jets de dégâts;Lorsqu'une attaque de cette arme réduit une cible à 0 point de vie (ou moins), vous disposez d'un camouflage jusqu'à la fin de votre tour de jeu suivant.;"";"";Le Comptoir de l'Aventure 1;uncommon;Vous gagnez 1d8 points de vie temporaire par points de bonus d'altération;"";Arme;Haches, Lames légères, Lames lourdes;"";10, 15, 20, 25, 30
Arme du mage;Certains lanceurs de sorts choisissent cette lame pour sa capacité à convertir la puissance des sorts en précision martiale.;jets d'attaque et jets de dégâts;Toute créature formé au maniement des armes simples ou de la dague est aussi formé au maniement de cette arme.;Rencontre: action mineure. Vous pouvez dépenser un pouvoir de rencontre arcanique pour regagnez l'usage d'un pouvoir de rencontre martial d'un niveau inférieur ou égal que vous connaissez.;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Lames légères, Lames lourdes;"";2, 7, 12, 17, 22, 27
Arme du marionnettiste;Des ondes de force émanent de cette arme d'hast lorsqu'elle frappe sa cible, obligeant cette dernière à se déplacer.;jets d'attaque et jets de dégâts;Lorsque vous tirez ou poussez une cible avec cette arme, augmentez l'effet de 1 case.;Rencontre: action libre. Utilisez ce pouvoir lorsque vous êtes censé tirer ou pousser une cible avec cette arme. Au lieu de cela, vous la faites glissez de la même distance.;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Armes d'hast;"";8, 13, 18, 23, 28
Arme du protecteur;Cette arme, couverte de motifs de boucliers, fait payer chèrement vos ennemis quand ils vous ignorent et s'en prennent à vos amis.;jets d'attaque et jets de dégâts;Tant qu'ils vous sont adjacents, vos alliés bénéficient d'un bonus de +2 à la CA contre les attaques d'opportunité.;Quotidien ♦ accentuable : action libre. Déclencheur : vous touchez un ennemi avec une attaque d'opportunité utilisant cette arme. Effet : l'ennemi est également hébété jusqu'à la fin de votre tour de jeu suivant.Accentuation 4 : l'ennemi est étourdi jusqu'à la fin de votre tour de jeu suivant, et non hébété.;Arme de corps à corps;Manuel des Joueurs 3;uncommon;+1d6 dégâts par point de bonus d'altération, ou +1d12 dégâts par point de bonus d'altération avec les attaques d'opportunités;"";Arme;Armes d'hast, Bâtons, Fléaux, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";10, 15, 20, 25, 30
Arme du saint guérisseur;Les guérisseurs qui portent cette arme se font une joie de soigner leurs alliés au combat tout en martelant leurs ennemis;jets d'attaque et jets de dégâts;Ajoutez le bonus d'altération de l'arme aux soins apportés par votre mot de guérison.;Quotidien ♦ guérison: action mineure. Un allié situé dans un rayon de 5 cases peut dépenser une récupération pour regagner un nombre de points de vie égal à 5 + votre modificateur de Sagesse.<br>Niveau 7: vous faites regagnez 10 + votre modificateur de Sagesse points de vie.<br>Niveau 12: vous faites regagnez 15 + votre modificateur de Sagesse points de vie.<br>Niveau 17 vous faites regagnez 20 + votre modificateur de Sagesse points de vie.<br>Niveau 22: vous faites regagnez 25 + votre modificateur de Sagesse points de vie.<br>Niveau 27: vous faites regagnez 30 + votre modificateur de Sagesse points de vie.;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Bâtons, Masses;"";2, 7, 12, 17, 22, 27
Arme du tyran;Cette arme à l'aspect peu engageant vous permet d'exploiter les vulnérabilités de vos ennemis.;jets d'attaque et jets de dégâts;"";Quotidien: action mineure. Jusqu'à la fin de votre tour de jeu suivant, vos attaques avec cette arme infligent 1d6 dégâts supplémentaires par point de bonus d'altération si la cible est aveuglée, à terre, maîtrisée ou sans défense.;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération, et la cible se retrouve à terre.;"";Arme;Armes d'hast, Bâtons, Fléaux, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";8, 13, 18, 23, 28
Arme du vide cristallin;Cette arme en cristal noir peut brièvement bannir une créature vers un lieu sombre et reculé.;jets d'attaque et jets de dégâts;"";Quotidien ♦ téléportation: action libre. Utilisez ce pouvoir lorsque vous touchez une créature avec cette arme. La cible disparaît de ce monde au début de votre tour de jeu suivant, après quoi elle reparaît dans l'espace inoccupé de votre choix dans un rayon de 3 cases de vous.;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Armes d'hast, Bâtons, Fléaux, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";14, 19, 24, 29
Arme ébréchée;Cette arme est piquée, abîmée et sans fioritures, mais elle cause de très vilaine plaies.;jets d'attaque et jets de dégâts;Cette arme réussit un coup critique sur un résultat naturel de 19 ou 20;"";Vérifier la durée des dégâts continus.;Le Comptoir de l'Aventure 1;uncommon;10 dégâts continus. niveau 22 et 27: 20 dégâts continus;"";Arme;Haches, Lames légères, Lames lourdes;"";12, 17, 22, 27
Arme embrocheuse;Cette arme laisse derrière elle un fragment éphémère qui entrave votre adversaire.;jets d'attaque et jets de dégâts;"";Quotidien: action libre. Utilisez ce pouvoir lorsque vous touchez avec cette arme. La cible est immobilisée (sauvegarde annule);"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Lances, Pics;"";3, 8, 13, 18, 23, 28
Arme empoisonnée;Cette arme inocule un poison qui mine la vitalité et la force de l'ennemi.;jets d'attaque et jets de dégâts;"";Quotidien ♦: action libre.Utilisez ce pouvoir lorsque vous touchez avec cette arme. La cible subit 5 dégâts de poison continus et est affaiblie (sauvegarde annule les deux).<br>Niveau 15 ou 20: 10 dégâts de poison continus et la cible est affaiblie (sauvegarde annule les deux).<br>Niveau 25 ou 30: 15 dégâts de poison continus et la cible est affaiblie (sauvegarde annule les deux).;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts de poison par points de bonus d'altération;"";Arme;Arbalètes, Arcs, Lames légères, Lances, Pics;"";5, 10, 15, 20, 25, 30
Arme étourdissante;Un coup de tonnerre éclate quand cette arme frappe, étourdissant sa cible.;jets d'attaque et jets de dégâts;"";Quotidien : action libre. Utilisez ce pouvoir quand votre attaque avec cette arme touche. La cible est hébétée jusqu'à la fin de votre tour de jeu suivant.;"";Manuel des Joueurs 1;uncommon;+1d6 dégâts de tonnerre par points de bonus d'altération;"";Arme;Bâtons, Fléaux, Frondes, Marteaux, Masses;"";2, 7, 12, 17, 22, 27
Arme extensible;Cette arme d'hast s'allonge tandis que vous frappez des ennemis éloignés, si bien qu'il se retrouvent à portée.;jets d'attaque et jets de dégâts;Avec cette arme, vous pouvez attaquer des cibles situées dans un rayon de 3 cases. Toutefois, vous ne pouvez effectuer des attaques d'opportunités que contre les armes adjacentes.;"";"";Le Comptoir de l'Aventure 1;common;+1d6 dégâts par points de bonus d'altération;"";Arme;Armes d'hast;"";25, 30
Arme extralucide;Grâce à cette arme, non seulement vous percez les défenses physiques de l'ennemi, mais vous passez également outre ses barrières mentales.;jets d'attaque et jets de dégâts;"";Quotidien: action libre. Utilisez ce pouvoir lorsque vous touchez avec cette arme. Effectuez un attaque secondaire contre la Volonté de la cible. Le bonus à l'attaque est égal au niveau de l'arme plus son bonus d'altération. Si l'attaque réussit, vous obtenez une information sur une question dont la cible connaît la réponse, qui doit être «oui» ou «non». Si la cible ne connaît pas la réponse, le pouvoir échoue.<br>Niveau 14 ou 29: réponse à deux questions (oui ou non).<br>Niveau 24 ou 29: réponse à trois questions (oui ou non).;S'applique uniquement aux armes de jet (légères et lourdes);Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Lames légères, Lances, Marteaux;"";9, 14, 19, 24, 29
Arme féericide;Fléau des créatures féeriques ou capables de se téléporter, cette arme noire est appréciée de bien des chasseurs.;jets d'attaque et jets de dégâts;Lorsque vous touchez une créature avec cette arme,  vous l’empêchez de se téléporter jusqu'à la fin de votre tour de jeu suivant.;"";"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Arbalètes, Arcs, Armes d'hast, Bâtons, Fléaux, Frondes, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";9, 14, 19, 24, 29
Arme fielleuse;La surface luisante de cette arme est recouverte de poison.;jets d'attaque et jets de dégâts;"";Quotidien ♦ poison: action libre. Utilisez ce pouvoir lorsque vous touchez au moyen d'une attaque de base de corps à corps. Au début de votre tour de jeu suivant, la cible subit de nouveau les dégâts, si ce n'est qu'ils sont tous de poison.;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts de poison par points de bonus d'altération;"";Arme;Armes d'hast, Bâtons, Fléaux, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";14, 19, 24, 29
Arme flamboyante;Cette arme à distance dissimule une surprise brûlante.;jets d'attaque et jets de dégâts;"";"Quotidien ♦ feu : action mineure. La prochaine attaque de base à distance que vous effectuez avec cette arme avant la fin de votre tour de jeu se transforme en explosion 1 centrée sur la cible. Utilisez votre bonus à l'attaque normal pour l'attaque de base, mais contre les Réflexes. Au lieu des dégâts habituels, chaque cible subit 5 dégâts de feu continus (sauvegarde annule). Niveau 13 ou 18 : explosion 2 ; 10 dégâts de feu continus. Niveau 23 ou 28 : explosion 3 ; 15 dégâts de feu continus.";Arme à distance et de jet uniquement.;Manuel des Joueurs 1;uncommon;+1d6 dégâts de feu par points de bonus d'altération;"";Arme;Arbalètes, Arcs, Frondes, Lames légères, Lances, Marteaux;"";3, 8, 13, 18, 23, 28
Arme flétrissante;Cette arme affaiblit l'ennemi à chaque coup asséné.;jets d'attaque et jets de dégâts;Chaque fois que vous touchez avec cette arme, votre cible subit un malus cumulatif de -1 en Vigueur (sauvegarde annule). Un jet de sauvegarde réussit suffit à annuler le malus accumulé, mais la cible peut en subir un nouveau si vous la touchez encore avec cette arme.;"";"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Armes d'hast, Bâtons, Fléaux, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";13, 18, 23, 28
Arme foudroyante;Soudain, le projectile produit une puissante explosion sonore.;jets d'attaque et jets de dégâts;"";Quotidien ♦ tonnerre : action mineure. La prochaine attaque de base à distance que vous effectuez avec cette arme avant la fin de votre tour de jeu se transforme en une explosion 1 centrée sur la cible. Utilisez votre bonus à l'attaque normal pour l'attaque de base, mais contre la Vigueur. Chaque cible touchée subit des dégâts de tonnerre égaux aux dégâts normaux que cette arme inflige sur une attaque de base à distance. Niveau 14 ou 19 : explosion 2. Niveau 24 ou 29 : explosion 3.;Arme à distance et de jet uniquement.;Manuel des Joueurs 1;uncommon;+1d6 dégâts de tonnerre par points de bonus d'altération;"";Arme;Arbalètes, Arcs, Frondes, Lames légères, Lances, Marteaux;"";4, 9, 14, 19, 24, 29
Arme fulgurante;Cette arme palpite d'une énergie élémentaire, si bien que la manier revient à manipuler la puissance et la furie d'une tempête.;jets d'attaque et jets de dégâts;"";"Quotidien ♦ électricité: action simple. L'arme libère un éclair. Effectuez une attaque: distance 10; Force ou Constitution contre Réflexes (appliquez au jet d'attaque un bonus égal au bonus d'altération de l'arme); en cas de réussite, la cible subit 2[A] + modificateur de Force dégâts d'électricité, et l'éclair inflige des dégâts d'électricité égaux au bonus d'altération de l'arme à toutes les créatures adjacentes à la cible.<br>Niveau 24 ou 29: [3] + modificateur de Force dégâts d'électricité, et dégâts d'électricité égaux au double du bonus d'altération de l'arme pour tous les ennemis adjacents à la cible.";"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts d'électricité par points de bonus d'altération;"";Arme;Lances, Marteaux;"";14, 19, 24, 29
Arme gémelle;L'arme se dédouble à une vitesse saisissante.;jets d'attaque et jets de dégâts;"";À volonté: action mineure. L'arme se scinde en deux armes identiques, une dans chaque main. Vous pouvez entreprendre une autre action mineure pour que les deux armes se fondent de nouveau en une seule. Si vous disposez du talent Arme en main, vous pouvez scinder et réunir l'arme au prix d'une action libre.;Cette arme magique n'est valable que pour les armes de corps à corps à une main.;Le Comptoir de l'Aventure 1;common;+1d6 dégâts par points de bonus d'altération;"";Arme;Armes d'hast, Bâtons, Fléaux, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";3, 8, 13, 18, 23, 28
Arme gracieuse;Légère et tranchante comme un rasoir, cette arme réagit aux mouvements les plus subtils et complexes;jets d'attaque et jets de dégâts;"";Quotidien: réaction immédiate. Utilisez ce pouvoir lorsqu'un ennemi situé à portée d'allonge effectue une attaque de base de corps à corps contre vous. Effectuez une attaque de base de corps à corps contre l'ennemi en question.;"";Le Comptoir de l'Aventure 1;uncommon;+modificateur de Dextérité par points de bonus d'altération;"";Arme;Fléaux, Lames légères, Lames lourdes, Lances;"";8, 13, 18, 23, 28
Arme hideuse;Rien n'est plus laid que cette arme, si ce n'est votre ennemi quand vous en avez fini avec lui.;jets d'attaque et jets de dégâts;Vous bénéficiez d'un bonus d'objets égal au bonus d'altération de l'arme aux tests d'Intimidation.;"Quotidien ♦ arme, terreur: action libre.Déclencheur: vous utilisez cette arme pour réduire un ennemi à 0 point de vie.Effet: vous effectuez une attaque contre chaque ennemi pris dans une explosion de proximité 2: Charisme + 2 + bonus d'altération de l'arme contre Volonté; en cas de réussite, la cible subit un malus de -2 aux jets d'attaques et, si elle finit son tour de jeu dans une case adjacente à vous, elle est hébétée jusqu'à la fin de son tour de jeu suivant (sauvegarde annule les deux).";"";Le Comptoir de l'Aventure 2;uncommon;+1d6 dégâts par point de bonus d'altération;"";Arme;Fléaux, Marteaux, Pics;"";8, 13, 18, 23, 28
Arme immobilisante;Cette arme vous permet de clouer l'ennemi sur place;jets d'attaque et jets de dégâts;"";Quotidien: action libre. Utilisez ce pouvoir lorsque vous touchez un ennemi avec cette arme. Celui-ci est immobilisé jusqu'à ce que vous ne lui soyez plus adjacent.;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Armes d'hast, Bâtons, Fléaux, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";2, 7, 12, 17, 22, 27
Arme improbable;Cette arme transforme la malchance en bonne fortune.;jets d'attaque et jets de dégâts;Lorsque vous obtenez un 1 sur un jet d'attaque au combat ou que l'ennemi réussit un coup critique contre vous, cette arme gagne une charge. Le nombre de charge n'est pas limité, mais l'arme en a forcément 2 (ni plus, ni moins) après un repos prolongé.;À volonté: action libre. Votre prochain jet d'attaque avec cette arme bénéficie d'un bonus de pouvoir égal au nombre de charge dépensées, dans la limite de son bonus d'altération.;"Vérifier le pouvoir et le mot """"dépensées"""".";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Arbalètes, Arcs, Armes d'hast, Bâtons, Fléaux, Frondes, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";20, 25, 30
Arme inéluctable;Cette arme s'acharne avec joie contre les adversaires que vous peinez à toucher.;jets d'attaque et jets de dégâts;Chaque fois que vous ratez une cible avec cette arme vous bénéficiez d'un bonus cumulatif de +1 (jusqu'à un maximum égal au bonus d'altération de l'arme) au prochain jet d'attaque avec cette arme contre la même cible. Le bonus disparaît si vous touchez la cible ou en attaquez une autre.;"";"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Arbalètes, Arcs, Armes d'hast, Bâtons, Fléaux, Frondes, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";3, 8, 13, 18, 23, 28
Arme insatiable;Le tintement grave et funèbre de cette arme se mue en hurlement quand elle est maniée au combat.;jets d'attaque et jets de dégâts;Lorsque vous réussissez un coup critique en utilisant cette arme, les dégâts du prochain coup critique que vous réussissez avec elle augmente de 1[A]. Cet effet est cumulatif jusqu'à la fin de la rencontre.;Quotidien: réaction immédiate.Déclencheur: un ennemi qui vous est adjacent réussit un coup critique contre vous.Effet: lancez les dés de dégâts critiques de cette arme (y compris les dégâts supplémentaires conférés par la propriété de l'arme) et infligez le total à l'ennemi en question.;"";Le Comptoir de l'Aventure 2;uncommon;+1d8 dégâts par point de bonus d'altération;"";Arme;Armes d'hast, Bâtons, Fléaux, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";3, 8, 13, 18, 23, 28
Arme insidieuse;Cette arme à la conception impeccable et gravée de motifs rend la cible plus sensible aux conditions défavorables.;jets d'attaque et jets de dégâts;La cible subit un malus de -2 aux jets de sauvegarde contre tout effet produit par l'arme qu'une sauvegarde est en mesure d'annuler.<br>Niveau 18 ou 23: malus de -3 aux jets de sauvegarde.<br>Niveau 28: malus de -4 aux jets de sauvegarde.;"";"";Le Comptoir de l'Aventure 1;uncommon;+1d8 dégâts par points de bonus d'altération;"";Arme;Armes d'hast, Bâtons, Fléaux, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";8, 13, 18, 23, 28
Arme inspiratrice;Les meneurs se servent de cette arme pour que leurs alliés les rejoignent dans un assaut décisif.;jets d'attaque et jets de dégâts;"";Quotidien: action mineure. Les alliés qui vous sont adjacents bénéficient aux jets de dégâts d'un bonus de pouvoir égal au bonus d'altération de l'arme jusqu'à la fin de votre tour de jeu suivant.;"";Le Comptoir de l'Aventure 1;uncommon;+1d6 dégâts par points de bonus d'altération;"";Arme;Arbalètes, Arcs, Armes d'hast, Bâtons, Fléaux, Frondes, Haches, Lames légères, Lames lourdes, Lances, Mains nues, Marteaux, Masses, Pics;"";3, 8, 13, 18, 23, 28
