"Titre";"Catégorie de talents";"Aptitude";"Aptitude raciale";"Talent";"Pouvoir";"Autre prérequis";"Compétences";"Classe";"Race";"Avantage";"Stats";"Source";"Errata"
"Convocateur précautionneux";"Héroïque";;;;;;;"Magicien";;"Les créatures créées par vos pouvoirs arcaniques de conjuration bénéficient d’un bonus de +1 à toutes les défenses.";"Con 13";"Secret des Arcanes";"Aucun"
"Convocation déterminée";"Héroïque";;;;;;;"Druide";;"Lorsqu'une créature que vous convoquez utilise une action instinctive pour attaquer, elle bénéficie d'un bonus de +1 au jet d'attaque.";;"Force de la Nature";"Aucun"
"Coordination d’envoûtements";"Héroïque";"Envoûtement";;;;;;"Sorcier";;"Vous pouvez placer votre envoûtement sur une créature qui est déjà affectée par l'envoûtement d'un autre personnage. En outre, vous bénéficiez de l'avantage de combat contre n'importe quelle créature affectée par plus d'un envoûtment.";;"Secret des Arcanes";"Aucun"
"Corneille audacieuse (tribal)";"Héroïque";;;;;;;;;"Vous bénéficiez d'un bonus de talent de +2 test de Larcin. Ce bonus augment de 1 pour chaque allié situé dans un rayon de 10 cases qui possède ce talent et jusqu'à un maximum de +5,";;"Force de la Nature";"Aucun"
"Cornes du péril";"Parangonique";;"Charge encornée";;;;;;"Minotaure";"Quand vous êtes en péril pour la première fois, vous regagnez l'usage de votre charge encornée.";;"Manuel des Joueurs 3";"Aucun"
"Coup de boutoir";"Héroïque";;;;;;;;;"Quand vous réussissez un coup critique avec une attaque de corps à corps, vous pouvez pousser la cible de 1 case.";;"Manuel des Joueurs 3";"Aucun"
"Coup de grâce du bourreau";"Héroïque";;;;;;;;;"Chaque fois que vous touchez une cible à terre avec une hache ou une lame lourde, celle-ci subit 5 dégâts supplémentaires.";;"Manuel des Joueurs 3";"Aucun"
"Coup encornée";"Héroïque";;"Charge encornée";;;;;;"Minotaure";"Chaque fois que vous touchez une cible avec votre charge encornée, vous pouvez également la pousser de 1 case.";"For 15";"Manuel des Joueurs 3";"Aucun"
"Coup Vicieux";"Héroïque";;;;;;;"Guerrier, Voleur";;"Vous bénéficiez d'un bonus de +4 aux jets de dégâts d'armes de corps à corps contre les ennemis surpris.";;"Art de la Guerre 1";"Aucun"
"Courage supérieur";"Parangonique";"Vertu de vaillance";;;;;;"Barde";;"PREREQUIS BARDELe nombre de points de vie temporaires conféré par votre vertu de vaillance augment de 3.";;"Manuel des Joueurs 2";"Aucun"
"Coureur agile";"Héroïque";;;;;;;;;"Quand vous courez, vous bénéficiez d'un bonus de +2 en Réflexes jusqu'au début de votre tour de jeu suivant, et vous ne conférez pas d'avantage de combat en raison de cette action.";;"Manuel des Joueurs 3";"Aucun"
"Courroux compromettant";"Héroïque";;;;;;;"Maître de Guerre";"Tieffelin";"La cible de votre pouvoir racial courroux infernal donne un avantage de combat à vos alliés jusqu'au début de votre tour de jeu suivant.";;"Art de la Guerre 1";"01/2013"
"Courroux des anciens temps";"Héroïque";"Alliance de colère";;;;;;"Invocateur";"Nain";"Lorsque vous utilisez votre armure de colère contre un ennemi plus grand que vous, ajoutez votre modificateur de Sagesse aux dégâts infligés par le pouvoir.";;"Intervention Divine";"Aucun"
"Courroux désarçonnant";"Héroïque";"Défi en combat";;;;;;"Voleur";"Tieffelin";"Lorsque vous utilisez votre pouvoir racial Courroux infernal, tous les pouvoirs accompagné du mot-clé désarçonnant que vous utilisez contre la cible avant la fin de votre tour de jeu suivant impose un malus de -4 aux jets d'attaque de la cible au lieu d'un malus de -2.";"Cha 15";"Art de la Guerre 1";"01/2013"
"Courroux du chasseur";"Parangonique";"Traque";;;;;;"Rôdeur";"Tieffelin";"Si vous utilisez votre pouvoir racial courroux infernal contre votre proie, vous bénéficiez d'un bonus de pouvoir de +3 à votre prochaine attaque contre celle-ci (au lieu de +1).";;"Art de la Guerre 1";"Aucun"
"Courroux du roi des montagnes";"Héroïque";"Alliance de colère";;;;;;"Invocateur";"Goliath";"Lorsque vous utilisez votre armure de colère, vous pouvez choisir que la cible se retrouve à terre après l'avoir poussée.";;"Intervention Divine";"Aucun"
"Courroux ensanglanté";"Parangonique";;;;"Esprit geôliers";;;"Limier";;"Les cibles d'esprits geôliers vous confèrent un avantage de combat jusqu'à al fin de votre tour de jeu suivant.";;"Manuel des Joueurs 3";"Aucun"
"Courroux insistant";"Héroïque";"Défi en combat";;;;;;"Guerrier";"Tieffelin";"Lorsque vous utilisez le pouvoir racial courroux infernal contre un ennemi que vous avez marqué, vous bénéficiez d'un bonus de +1 aux jets d'attaque contre cet ennemi jusqu'à ce que vous ne le marquiez plus.";;"Art de la Guerre 1";"01/2013"
"Courroux terrifiant";"Héroïque";;;;"Serment d'inimitié";;;"Vengeur";"Demi-orque";"Lorsque vous utilisez votre pouvoir racial assaut furieux contre la cible de votre serment d'inimitié, la cible subit un malus de -1 aux jets d'attaque jusqu'au début de votre tour de jeu suivant.";;"Intervention Divine";"Aucun"
"Course d'assaut accidentée";"Héroïque";"Course d'assaut";;;;;;"Rôdeur";;"Lorsque vous vous déplacez dans le cadre de l’utilisation d’un pouvoir d’attaque de rôdeur, vous ignorez le terrain difficile.";;"Art de la Guerre 2";"Aucun"
"Crescendo de sorts";"Héroïque";;;;;;;"Ensorceleur";;"Lorsque vous utilisez un pouvoir d’attaque à volonté d’ensorceleur et ne touchez qu’un seul ennemi, vous bénéficiez d’un bonus de +1 à vos jets d’attaques avec les pouvoirs d’attaque de zone à proximité jusqu’à la fin de votre tour de jeu suivant.";;"Secret des Arcanes";"Aucun"
"Cri de triomphe supérieur";"Héroïque";"Triomphe du champion";;;;;;"Barbare";;"Quand vous utilisez cri de triomphe alors que vous êtes enragé, ce pouvoir devient une explosion de proximité 5 + votre modificateur de Charisme au lieu d’une explosion de proximité 5, et vous bénéficiez d’un bonus de pouvoir de +2 à vos jets de dégâts d’armes jusqu’à la fin de votre tour de jeu suivant.";;"Manuel des Joueurs 2";"Aucun"
"Critique accablant";"Parangonique";;;;;;;;;"Quand vous réussissez un coup critique, votre cible se retrouve à terre.";;"Manuel des Joueurs 3";"Aucun"
"Critique dévastateur";"Parangonique";;;;;;;;;"Lorsque vous réussissez un coup critique, vous infligez 1d10 dégâts supplémentaires.";;"Manuel des Joueurs 1";"Aucun"
"Critique renversant";"Héroïque";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";;"Chaque fois que vous réussissez un coup critique contre un ennemi avec une attaque de charge, vous pouvez le pousser de 1 case et décider qu’il se retrouve à terre.";;"Art de la Guerre 2";"Aucun"
"Crocs précis";"Héroïque";"Esprit prédateur";;;;;;"Shaman";;"Lorsque vous utilisez crocs des esprits, vous bénéficiez d'un +2 au jet d'attaque.";;"Force de la Nature";"Aucun"
"Cruel avantage";"Héroïque";;;;;;;;;"Vous jouissez d'un avantage de combat contre les cibles immobilisés et les cibles ralenties.";;"Manuel des Joueurs 3";"Aucun"
"Cruelle férocité";"Parangonique";;"Férocité";;;;;;"Minotaure";"Quand vous effectuez l'attaque de base de corps à corps que vous confère votre férocité, vous pouvez la remplacer par n'importe quelle attaque à volonté dont vous disposez.";;"Manuel des Joueurs 3";"Aucun"
"Cueillette imitoyable";"Parangonique";;;;;;;"Voleur";;"Lorsque vous jouissez d'un avantage de combat contre une cible en péril ou affaiblie, vous bénéficiez d'un +2 aux jets de dégâts d'arme de corps à corps contre celle-ci.";"Cha 15";"Art de la Guerre 1";"Aucun"
"Cuisantes représailles";"Parangonique";;;;"Représailles spirituelles";;;"Limier";;"Votre pouvoir représailles spirituelles inflige 1[A] dégâts supplémentaires.";;"Manuel des Joueurs 3";"Aucun"
"Dangereuse promiscuité";"Héroïque";;;;;;;;;"Quand vous tirez ou faites glisser un ennemi dans une case qui vous est adjacente, vous jouissez d'un avantage de combat contre lui, jusqu'à la fin de votre tour de jeu suivant.";;"Manuel des Joueurs 3";"Aucun"
"Dans l'élan";"Parangonique";;;;;;;;;"Quand un ennemi vous tire, vous pousse ou vous fait glisser, vous pouvez vous décaler de 1 case au prix d'une action libre à la fin du déplacement forcé.";;"Manuel des Joueurs 3";"Aucun"
"Danse du cimeterre";"Parangonique";;;;;;;;;"Si vous ratez une attaque de corps à corps avec un cimeterre et que vous n'êtes pas censé infliger de dégâts sur un échec, vous infligez tout de même à la cible des dégâts égaux à votre modificateur de Dextérité. Ces dégâts ne bénéficient d'aucun des modificateurs ou autres avantages s'appliquant habituellement aux dégâts des armes.";"For 15, Dex 17";"Manuel des Joueurs 1";"Aucun"
"Décalage d'assaut supérieur";"Parangonique";"Chef d'assaut";;;;;;"Maître de guerre";;"Votre pouvoir décalage d'assaut prend un personnage de plus pour cible.";;"Art de la Guerre 2";"Aucun"
"Décalage guidé";"Héroïque";;;;;;;"Maître de Guerre";"Elfe";"Chaque fois que vous utiliser un pouvoir qui permet à vos alliés de se décaler, ils ignorent le terrain difficile pendant le décalage.";;"Art de la Guerre 2";"Aucun"
"Décalage risqué";"Héroïque";;;;;;;"Voleur";;"Chaque fois que vous vous décalez, vous pouvez vous décalez de 1 case supplémentaire, auquel cas vous conférez un avantage de combat jusqu'au début de votre tour de jeu suivant.";;"Art de la Guerre 2";"Aucun"
"Déchaîner la bête";"Héroïque";;;;"Serment d'inimitié";;;"Vengeur";"Féral griffe-effilée, Féral longue-dent";"Si vous êtes en péril après que la cible de votre serment d'inimitié vous a touché, vous pouvez utiliser votre pouvoir racial sauvagerie longue-dent ou sauvagerie griffe-effilée au prix d'une réaction immédiate.";;"Intervention Divine";"Aucun"
"Défense à deux armes";"Héroïque";;;;;;;;;"Lorsque vous tenez une arme de corps à corps dans chaque main, vous bénéficiez d’un bonus de bouclier de +1 à la CA et aux Réflexes.";"Dex 13";"Manuel des Joueurs 1";"Aucun"
"Défense au bouclier";"Héroïque";;;;;;;"Guerrier";;"Lorsque vous touchez avec un pouvoir nécessitant un bouclier, vous bénéficiez d'un bonus de +1 à la CA et aux Réflexes jusqu'à la fin de votre tour de jeu suivant ou jusqu'à ce que vous cessiez d'utiliser le bouclier.";"Sag 13";"Art de la Guerre 1";"Aucun"
"Défense commune";"Héroïque";;;;;;;;;"Quand vous utilisez l'action de défense totale en portant un bouclier, les alliés qui vous sont adjacents bénéficient d'un bonus de +2 à la CA et aux Réflexes jusqu'au début de votre tour de jeu suivant tant qu'ils vous restent adjacents.";;"Manuel des Joueurs 3";"Aucun"
"Défense de biais";"Héroïque";"Défi en combat";;;;;;"Guerrier";"Humain";"Les alliés qui vous sont adjacents bénéficient d'un +1 à toutes les défenses contres les créatures que vous avez marquées.";;"Art de la Guerre 1";"Aucun"
"Défense de l'invocateur";"Héroïque";;;;;;;"Invocateur";;"Lorsque vous touchez un ennemi dans un rayon de 3 cases de vous avec un pouvoir d’invocateur, vous bénéficiez d’un bonus de pouvoir de talent de +2 à la CA jusqu’au début de votre tour de jeu suivant.";;"Manuel des Joueurs 2";"Aucun"
"Défense décalée";"Héroïque";;;;;;;;;"Quand vous utilisez l'action de défense totale, vous pouvez aussi vous décalez de 1 case.";;"Manuel des Joueurs 3";"Aucun"
"Défense en équipe";"Héroïque";;;;;;;;;"Tant que vous êtes adjacent à un ou plusieurs alliés disposant également de ce talent, vous bénéficiez d'un bonus de +1 à la CA.";;"Manuel des Joueurs 3";"Aucun"
"Défense forcenée";"Héroïque";;;;;;;"Façonneur";;"Quand vous touchez un ennemi avec un pouvoir de force, un allié adjacent à cet ennemi bénéficie d'un +1 à la CA jusqu'à la fin de votre tour de jeu suivant.";;"Eberron";"Aucun"
"Défense groupée";"Héroïque";;;;;;;"Paladin";"Demi-elfe";"Les alliés bénéficient d'un bonus de +1 à toutes les défenses contre les créatures que vous avez marquées.";;"Intervention Divine";"Aucun"
"Défense prémonitoire";"Parangonique";;;;;;;"Psion";;"Quand vous touchez un ennemi avec un pouvoir d'attaque à volonté psionique non accentué, vous bénéficiez d'un bonus de +2 à toutes les défenses contre les attaques de corps à corps jusqu'à la fin de votre tour de jeu suivant.";;"Manuel des Joueurs 3";"Aucun"
"Défense prophétique";"Héroïque";"Alliance protectrice";;;;;;"Invocateur";;"Lorsque vous utilisez votre pouvoir représailles du protecteur , alliés touché par l'attaque qui l'a déclenché gagne un points de vie temporaires égal à 3+ votre modificateur d'Intelligence.";;"Manuel des Joueurs 2";"Aucun"
"Défenses parangoniques";"Parangonique";;;;;;;;;"Vous bénéficiez d'un bonus de talent de +1 à vos défenses de réflexes, Vigueur et Volonté.";;"Manuel des Joueurs 2";"Aucun"
"Défi appuyé";"Héroïque";"Défi en combat";;;;;;"Guerrier";"Nain";"Lorsque vous effectuez une attaque de corps à corps conférée par défi en combat, vous bénéficiez aux jets d'attaque et de dégâts d'un bonus égal à votre modificateur de Sagesse.";;"Art de la Guerre 1";"Aucun"
"Défi de l'éladrin";"Héroïque";;;;;;;"Guerrier";"Éladrin";"Lorsque vous attaquez avec une épée longue ou une lance, les ennemis que vous avez marqués subissent un malus de -3 aux jets d'attaque (au lieu de -2 habituellement).";;"Art de la Guerre 2";"Aucun"
"Défi draconique";"Héroïque";;;;;;;"Paladin";"Drakéide";"Lorsque vous utilisez votre pouvoir racial souffle de dragon, vous soumettez chaque ennemi ciblé par ce pouvoir à votre sanction divine. Cette sanction divine dure jusqu'au début de votre tour de jeu suivant.";;"Intervention Divine";"Aucun"
"Défi élémentaire";"Héroïque";;;;;;;"Paladin";"Genasi";"Lorsque vous infligez des dégâts à une créature en utilisant défi divin, vous pouvez changer le type de dégâts de radiant à acide, électricité, feu, froid ou tonnerre. Choisissez à chaque fois que vous infligez des dégâts avec défi divin.";;"Intervention Divine";"Aucun"
"Défi énergique";"Héroïque";"Défi en combat";;;;;;"Guerrier";;"Si vous touchez un ennemi au moyen d’une attaque qui vous est conférée par votre aptitude de classe de défi en combat, ajoutez votre modificateur de Constitution au jet de dégâts.Spécial : cet avantage ne s’applique qu’aux attaques portées avec des armes à deux mains.";"Con 15";"Manuel des Joueurs 1";"Aucun"
"Défi saisissant";"Parangonique";"Défi en combat";;;;;;"Guerrier";;"Les créatures que vous avez marquées subissent un -3 aux jets d'attaque qui ne vous prennent pas pour cible (au lieu d'un -2).";;"Art de la Guerre 1";"Aucun"
"Déluge brutal";"Parangonique";"Déluge de coups";;;;;;"Moine";;"Chaque fois que vous ne visez qu'une seule créature avec votre pouvoir de déluge de coups, celle-ci subit 2 dégâts supplémentaires. Les dégâts supplémentaires passent à 4 au niveau 21.";;"Manuel des Joueurs 3";"Aucun"
"Déluge d'étoile de fer";"Parangonique";"Déluge de coups";;;;;;"Moine";;"Quand vous utilisez votre pouvoir de déluge de coups, vous pouvez y ajouter une cible située dans un rayon de 5 cases en lançant une dague ou un shuriken que vous avez en main. Ce faisant, vous ne provoquez pas d'attaques d'opportunités.";;"Manuel des Joueurs 3";"Aucun"
"Déluge de sorts arcanique";"Héroïque";;;;;;;"Ensorceleur";;"Quand vous touchez un ennemi avec un pouvoir à volonté d’ensorceleur, vous bénéficiez d’un bonus d’un +1 aux jets d’attaque contre cet ennemi jusqu’à la fin de votre tour de jeu suivant.";;"Manuel des Joueurs 2";"Aucun"
"Déluge de sorts draconiques";"Parangonique";"Magie draconique";;;;;;"Ensorceleur";;"Chaque fois que vous touchez un ennemi avec un pouvoir d'attaque à volonté d'ensorceleur, vous gagnez des points de vie temporaires égaux à votre modificateur de Force.";;"Manuel des Joueurs 2";"Aucun"
"Déluge de sorts sauvages";"Parangonique";"Magie sauvage";;;;;;"Ensorceleur";;"Chaque fois que vous touchez un ennemi avec un pouvoir d'attaque à volonté d'ensorceleur, tous les ennemis qui vous sont adjacents subissent des dégâts égaux à votre modificateur de Dextérité.";;"Manuel des Joueurs 2";"Aucun"
"Demi-vie d'Aërénal";"Héroïque";;;;;"originaire d'Aërénal";;;"Elfe";"Vous bénéficiez d'un bonus de de talent de +1 aux jets de dégâts des pouvoirs nécrotiques. Ce bonus passe à +2 au niveau 11 et +3 au niveau 21.Par ailleurs, lorsque vous dépensez un point d'action pour entreprendre une action supplémentaire, vous bénéficiez aussi de ce bonus aux jets d'attaque des pouvoirs nécrotiques jusqu'à la fin de votre tour de jeu suivant.";;"Eberron";"Aucun"
"Départ chanceux";"Héroïque";;;;;;;;;"Si votre initiative est la plus élevée de tous les combattants au début d'une rencontre, vous pouvez lancer deux fois les dés et garder le résultat de votre choix au premier jet d'attaque de rencontre en question.";;"Manuel des Joueurs 3";"Aucun"
"Déplacement illuminé de Zuwoth";"Héroïque";;;;;;;;"Githzerai";"Pendant le premier round d'une rencontre, vous ne provoquez pas d'attaques d'opportunité de la part des ennemis qui n'ont pas encore agi.";;"Manuel des Joueurs 3";"Aucun"
"Déplacement insaisissable";"Parangonique";;;;;;;"Rôdeur, Voleur";;"Chaque fois que vous terminez votre tour de jeu à au moins 3 cases de l'endroit où vous l'avez commencé, vous bénéficiez d'un bonus de talent de +1 à la CA et en Réflexes jusqu'au début de votre tour de jeu suivant.";;"Art de la Guerre 2";"Aucun"
"Déplacements secrets";"Parangonique";;;;;;"Formation Discrétion";;;"Vous ne subissez aucun malus aux tests de Discrétion si vous vous déplacez à hauteur de votre vitesse de déplacement tout en essayant de vous cacher ou de passer inaperçu. En revanche, vous subissez le malus habituel si vous courez (cf. modificateur de Discrétion page 184).";;"Manuel des Joueurs 1";"Aucun"
"Dérobade du péril";"Héroïque";"Lien du sang";;;;;;"Limier";;"Quand une attaque vous met en péril, vous pouvez vous décaler de 1 case au prix d'une action libre.";;"Manuel des Joueurs 3";"Aucun"
"Des yeux dans le dos";"Parangonique";;;;;;;;;"Vous ne conférez pas d'avantage de combat pour le simple fait d'être pris en tenaille.";;"Manuel des Joueurs 3";"Aucun"
"Déstabilisation de groupe";"Héroïque";;;;;;"Formation Intimidation";"Voleur";"Demi-elfe";"Vos alliés bénéficient d'un +1 aux jets d'attaques contre les ennemis qui subissent un malus aux jets d'attaque découlant d'une attaque réussie de votre part avec un pouvoir accompagné du mot-clé désarçonnant.";;"Art de la Guerre 1";"Aucun"
"Destin du vide supérieur";"Héroïque";;;;;;;"Sorcier";;"Votre aptitude de classe de Destin du vide vous confère un bonus supplémentaire de +1 au jet de D20.";"Con 13 ou Cha 13";"Manuel des Joueurs 1";"Aucun"
"Destin féerique";"Héroïque";;;;"Serment d'inimitié";;;"Vengeur";"Elfe";"Lorsque vous utilisez votre pouvoir racial précision elfique pour relancer un jet d'attaque contre la cible de votre Serment d'inimitiéet que l'attaque réussit, vous bénéficiez d'un bonus de +2 aux jets de dégâts contre cette cible jusqu'à la fin de votre tour de jeu suivant. Le bonus passe à +4 au niveau 11 et à +6 au niveau 21.";;"Intervention Divine";"Aucun"
"Détermination sacrée";"Héroïque";;;;;;;"Prêtre";"Forgelier";"Lorsque vous utilisez votre pouvoir racial opiniâtreté forgelière, ajoutez votre modificateur de Force aux points de vie regagnée par les cibles de vos pouvoirs de guérision de prêtre jusqu'à la fin de votre tour de jeu suivant.";;"Intervention Divine";"Aucun"
"Deuxième focaliseur";"Parangonique";"Maîtrise des focaliseurs arcaniques";;;;;;"Magicien";;"Vous gagnez une deuxième aptitude de classe de maitrise de focaliseur arcanique.";;"Manuel des Joueurs 1";"Aucun"
"Dévotion furieuse";"Héroïque";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";"Demi-orque";"Lorsque vous utilisez un pouvoir de conduit divin, vous bénéficiez d'un bonus de +2 aux jets de dégâts avec des pouvoirs d'attaque divins jusqu'à la fin de votre tour de jeu suivant.";;"Intervention Divine";"Aucun"
"Dilettante martial";"Héroïque";;;;;;;"Guerrier, Maître de guerre, Rôdeur, Voleur";"Demi-elfe";"Si le pouvoir que vous confère votre trait racial dilettante est un pouvoir martial, vous pouvez l'utiliser deux fois par rencontre.";;"Art de la Guerre 2";"Aucun"
"Discours sacré";"Héroïque";;;;;"Langage Universelle";;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Lorsque vous utilisez Bluff, Diplomatie, ou Intimidation dans un défi de compétences, vous gagnez un succès supplémentaires pour compléter le défi la première fois que vous réussissez un test avec l’une de ces compétences.";;"Intervention Divine";"Aucun"
"Discrétion de groupe";"Héroïque";;;;;;;;"Gnome";"Vos alliés dans un rayon de 10 cases de vous bénéficient d’un bonus racial de +2 à leurs jets de Discrétion.";;"Manuel des Joueurs 2";"Aucun"
"Disparition surprenante";"Parangonique";;;;;;;;"Gnome";"Lorsque vous utilisez votre pouvoir racial effacement, la créature qui vous a infligé les dégâts déclenchant le pouvoir donne un avantage de combat à vos alliés jusqu'à la fin de son tour de jeu suivant.";;"Manuel des Joueurs 2";"Aucun"
"Distraction divine";"Héroïque";"Censure collective";;;"Serment d'inimitié";;;"Vengeur";;"Lorsque vous êtes adjacent à la cible de votre serment d'inimitié, vos alliés bénéficient d'un bonus de +1 aux jets de dégâts contre cette cible. Le bonus passe à +2 au niveau 11 et à +3 au niveau 21.";;"Intervention Divine";"Aucun"
"Diversion bestiale";"Parangonique";"Maîtrise des bêtes, Traque";;;;;;"Rôdeur";;"Si votre proie est adjacente à votre compagnon bestial lorsque vous la touchez avec une attaque, elle subit un -2 aux jets d'attaque contre vous et votre compagnon bestial jusqu'au début de votre tour de jeu suivant.";;"Art de la Guerre 1";"Aucun"
"Diversion sonore";"Héroïque";;;;"Son imaginaire";;;"Voleur";;"Lorsque vous utilisez son imaginaire à votre tour de jeu, vous pouvez faire deux jets par test de Discrétion que vous effectuez avant la fin de votre tour de jeu et ne gardez que le résultat le plus élevé.";;"Art de la Guerre 2";"Aucun"
"Dompter l'âme sauvage";"Héroïque";"Magie sauvage";;;;;;"Ensorceleur";;"Quand vous déterminez le type des dégâts de votre âme sauvage, faites deux jets et utilisez le résultat que vous voulez.";;"Manuel des Joueurs 2";"Aucun"
"Don d'Onatar";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous gagnez le pouvoir de conduit divin do d'Onatar.";;"Eberron";"Aucun"
"Don de Kol Korran";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous gagnez le pouvoir de conduit divin don de Kol Korran.";;"Eberron";"Aucun"
"Don de Sheela Peryroyle";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous pouvez invoquez le pouvoir de votre dieu pour utiliser don de Sheela Peryroyl.";;"Royaume Oubliés";"Aucun"
"Don du Voyageur";"Domaine Divin";"Conduit divin";;;;;;"Invocateur, Paladin, Prêtre, Prêtre des runes, Vengeur";;"Vous gagnez le pouvoir de conduit divin don du Voyageur.";;"Eberron";"Aucun"
"Don hybride";"Héroïque";;;;;;;"Hybride";;"Vous gagnez une option de Don hybride pour l'une de vos classes hybride.Spécial : vous gagnez ce talent au niveau 11 si vous ne prenez pas de voie parangonique. Si vous le gagnez deux fois, vous ne pouvez pas l'utilisez pour choisir une option dont vous disposez déjà.";;"Manuel des Joueurs 3";"Aucun"
"Dos au mur";"Parangonique";;;;;;;;;"Lorsque vous êtes adjacent à un mur, vous bénéficiez d'un bonus de +1 aux jets d'attaque de corps à corps, aux jets de dégâts de corps à corps et à la CA.";;"Manuel des Joueurs 1";"Aucun"
"Double décoche";"Héroïque";;;;;;;"Voleur";;"Vous pouvez considérer l’arbalète de poing comme une arme secondaire et vous pouvez la recharger d'une main au prix d'une action libre. Lorsque vous réussissez un coup critique et que vous avez une arbalète de poing chargée dans votre main secondaire, vous pouvez effectuer une attaque de base à distance avec cette arme.";;"Art de la Guerre 1";"01/2013"
"Dracogramme aberrant de contagion";"Héroïque";;;;;;;;;"Quand vous touchez un ennemi avec un pouvoir d'attaque quotidien, il subit un -2 aux jets de sauvegarde contre les dégâts continuse jusqu'à la fin de la rencontre.";;"Eberron";"Aucun"
"Dracogramme aberrant de folie";"Héroïque";;;;;;;;;"Quand vous touchez un ennemi avec un pouvoir d'attaque quotidien, il subit un -2 en Volonté jusqu'à la fin de la rencontre.";;"Eberron";"Aucun"
"Dracogramme aberrant de terreur";"Héroïque";;;;;;;;;"Quand vous touchez un ennemi avec un pouvoir d'attaque quotidien, il subit un -1 aux jets d'attaque vous visant jusqu'à la fin de la rencontre. Il s'agit d'un effet de terreur.";;"Eberron";"Aucun"
"Dracogramme de l'Ecriture";"Héroïque";;;;;;;;;"Choisissez quatre langues. Vous les parlez, lisez et écrivez couramment. En montant de niveau, vous pouvez échanger l'une d'elles plutôt que d'échanger un talent, un pouvoir ou une compétence.Vous bénéficiez d'un +2 aux tests de Diplomatie.Vous pouvez maîtriser et exécuter les comme si vous aviez le talent Lanceur de rituels. Par ailleurs, la création de parchemins ne vous demande que la moitié du temps habituellement nécessaires (c'est à dire autant de temps qu'il en faut pour en enrichir votre bréviaire),";;"Eberron";"Aucun"
"Dracogramme de l'Hospitalité";"Héroïque";;;;;;;;;"Lorsque vous ou un allié situé dans un rayon de 10 cases utilisez un pouvoir de guérison durant un repos court, ce pouvoir rend le nombre maximum de point de vie possible.Vous pouvez maîtriser et exécuter les rituels Abri sûr (cf. page 116), festin du voyageur (cf.MdJ 305), Oeil du tocsin (cf. MdJ309) et Récupération fantastique (cf. page 119), comme si vous aviez le talent Lanceur de rituels.";;"Eberron";"Aucun"
"Dracogramme de l'Ombre";"Héroïque";;;;;;;;;"Lorsque vous effectuez une attaque et ratez chaque cible alors que vous êtes cachés, vous resté caché. Lorsque vous effectué une attaque et ratez chaque cible alors que vous êtes invisible, vous restez invisible. Vous pouvez maîtriser et exécuter les rituels des catégories scrutation et tromperie comme si vous aviez le talent Lanceur de rituels. Par ailleurs, vous pouvez maîtriser et exécuter les rituels Ouverture (cf.MdJ309), Page secrète (cf.MdJ309), traversée des ombres (cf.MdJ313) et Voile de dissimulation (cf. page 119) comme si vous aviez le talent Lanceur de rituels.";;"Eberron";"Aucun"
"Dracogramme de la Création";"Héroïque";;;;;;;;;"Vous maîtrisez le rituel Enchantement d'objet et pouvez l'exécuter comme si vous aviez deux niveau de plus.Vous pouvez produire des objets alchimiques comme si vous aviez le talent Alchimiste et deux niveau de plus.Vous pouvez maîtrisez et exécuter les rituels de la catégorie création et le rituel Réparation (cf. MdJ313) comme si vous aviez le talent Lanceur de rituels.";;"Eberron";"Aucun"
"Dracogramme de la Découverte";"Héroïque";;;;;;;;;"Lorsqu'un ennemi qui vous confère un avantage de combat vous est adjacent et se décale, vous pouvez vous décaler de 1 case qu'il vient de se libérer au prix d'un action mineure.Vous pouvez maîtriser et exécuter les rituels de Détection d'objet (cf.MdJ304), Détection des portes secrètes (cf.MdJ305), Orientation (cf page 118) et Regard d'enquêteur (cf. page 119) comme si vous aviez le talent Lanceur de rituels.";;"Eberron";"Aucun"
"Dracogramme de la Détection";"Héroïque";;;;;;;;;"Lorsque vous effectuez un test de Perception, faites deux jets et gardez le meilleur résultat.Vous sentez également la présence de magie comme si vous étiez formé en Arcanes (cf.MdJ181). Vous pouvez utiliser Perception à la place d'Arcanes pour le test.Vous pouvez maîtriser et exécuter les rituels de la catégorie divination comme si vous aviez le talent Lanceur de rituels. Par ailleurs, vous pouvez maîtriser et exécuter les rituels Illusion bannies (cf. page 118), Indiscrétion déjouée (cf. page 118) et Piège à scrutation (cf.page 119) comme si vous aviez le talent lanceur de rituels.";;"Eberron";"Aucun"
"Dracogramme de la Guérison";"Héroïque";;;;;;;;;"Lorsque vous utilisez un pouvoir de guérison sur un allié ou la compétence Soins pour permettre à un allié de recourir à son second souffle, l'allié en question peut aussi effectuez un jet de sauvegarde.Vous pouvez maîtriser et exécuter les rituels de la catégorie restauration comme si vous aviez le talent Lanceur de rituels.";;"Eberron";"Aucun"
